"115","Cherry Eyed Pumpkin","0","large","Kirchhoff, D.","kirchhoff-d","1991","A pumpkin coloured flower with a red eye. Flowers sometimes triangular in shape instead of round.","28","6","t","s","e","5.00","1","9"
"116","Chestnut Lane","0","large","Blyth","blyth","1981","An eyecatching daylily from Australia. Tall and stately, the flower is golden-brown with a rich chestnut eyezone and a gold throat.","36","6","t","e","e,m","4.00","0","0"
"117","Chestnut Mountain","0","large","Salter","salter","1989","A ruffled flower of light golden yellow overlaid with tan.","24","6","t","e","e,m","7.50","1","4"
"118","Chicago Antique Tapestry","0","large","Marsh-Klehm","marsh-klehm","1985","This rose pink flower has darker veining and a texture that imparts a slightly stippled effect.","28","6","t","d","m","6.50","1","4"
"119","Chicago Apache","0","large","Marsh","marsh","1981","A ruffled flower of deep scarlet. One of the most popular reds and an excellent performer.","27","5","t","d","m","4.00","1","5"
"120","Chicago Fire","0","large","Marsh","marsh","1983","Fiery, orange red flowers in abundance.","34","6","t","s","m","4.00","1","4"
"121","Chicago Knobby","0","large","Marsh","marsh","1974","A light purple flower with a deeper centre and tightly ruffled edges. ","22","6","t","s","e,m","4.00","1","10"
"122","Chicago Picotee Memories","0","large","Marsh-Klehm","marsh-klehm","1987","A creamy white flower with a vivid purple eyezone and matching picotee edge. Still one of the best eyed and edged daylilies for our climate.","30","6","t","d","e,m","5.50","1","5"
"123","Chicago Queen","0","large","Marsh","marsh","1974","Mauve-purple flowers are produced in abundance on this fine garden plant. A favourite here.","28","7","t","s","m","4.00","1","4"
"124","Chicago Royal ","0","large","Marsh","marsh","1970","Large flowers of a rich plum purple. Taller here than registered. ","24","7","t","s","m","3.50","1","4"
"125","Chicago Royal Robe ","0","large","Marsh","marsh","1977","A reddish purple flower with a green throat that remains popular.","25","6","t","s","e","3.50","1","10"
"126","Chicago Silver","2018","large","Marsh","marsh","1973","This flower is mauve with a thin silver edge, a purple halo and a green throat. ","30","6","t","s","m","4.50","1","6"
"127","Chicago Sugarplum","0","large","Marsh-Klehm","marsh-klehm","1980","A striking purple lavender blend which has a darker halo with perhaps a touch of blue.","20","6","t","d","e,m","5.00","1","6"
"128","Chicago Sunrise","0","large","Marsh","marsh","1969","Many broad petalled flowers of bright egg-yolk yellow. ","28","6","t","e","m","3.50","1","8"
"129","China Bride","0","large","Guidry","guidry","1989","A study in pink,this bitone has rose pink petals and ceam pink sepals.","24","6","d","e","e","5.50","0","0"
"130","China Lake","0","large","Munson, R.W.","munson-r-w","1982","A stunning, mauve influenced, purple flower with a cream yellow throat. Sometimes reblooms as a bonus. ","28","6","t","s","m","6.00","1","6"
"131","Chinese Cloisonne","0","large","Munson, I.","munson-i","1984"," An ivory peach flower enhanced by a slate violet eye and gold throat.","26","5","t","e","e,m","6.50","1","6"
"132","Chinese Temple Flower","0","large","Munson, I.","munson-i","1980","Deep mauve pink with a large cream throat surrounded by a narrow purple band.","26","5","t","e","e,m","6.00","1","8"
"133","Chocolate Splash","0","large","Shooter","shooter","1995","Dark red flowers with a black-purple influence, a darker eye and a green throat","32","5","t","s","m","6.00","1","10"
"134","Christmas Is","0","large","Yancey","yancey","1979","Brilliant scarlet flower with a huge lime green throat","26","5","d","d","e,m","4.00","0","0"
"135","Ciarra Vonnie","0","large","Reinke","reinke","1994","A salmon gold blend with a striking burgundy eyezone and a green yellow throat.","30","7","d","s","m","5.00","1","10"
"136","Civil Law ","0","large","Millikan, B.","millikan-b","1990","Ruffled flowers that are a blend of cream and greenish yellow.","26","5","d","s","m","4.00","1","10"
"137","Civil Rights","0","large","Millikan, B.","millikan-b","1988","Pale yellow green flower with a deep green throat.","28","5","d","s","m","4.00","1","7"
"138","Classic Edge ","0","large","Stamile","stamile","1998","Mauve pink with a purple eye and edge and a yellow to green throat.","26","6","t","e","m","8.00","1","7"
"139","Comanche Eyes","0","large","Guidry","guidry","1985","A pink and cream bicolour with a rose eyezone and a yellow throat.","24","6","d","e","e","5.00","1","8"
"140","Concord","0","large","Kennedy","kennedy","1985","This flower is a most attractive and unusual mauve purple colour, described as mulberry rose. The form is round, ruffled and recurved. Very rare.\r\n*Although registered as evergreen, we have found it to be dormant here.","30","6","t","e","m","6.00","0","0"
"141","Condilla","0","large","Grooms","grooms","1977","Impeccable double flowers of pure gold (that's the colour !) from this award winner.","20","5","d","d","e,m","4.50","1","6"
"142","Cool Jazz","0","large","Kirchhoff, D.","kirchhoff-d","1987","Pristine shell pink flowers with wide ruffled petals. In hot weather sepals are a lighter cream pink.","28","6","t","e","e,m","4.00","1","8"
"143","Corinthian Pink","0","large","Stamile","stamile","1996","A very large pink flower with a narrow rose pink eye and a yellow green throat.","26","7","t","d","e,m","7.00","1","9"
"144","Country Melody","0","large","Klehm","klehm","1987","A delightful rich rose pink flower with a soft yellow halo. The form is round with neat ruffled edges on the petals.","30","6","t","d","m","4.00","1","5"
"145","Court Magician","0","large","Munson, R.W.","munson-r-w","1987","A wide ruffled flower of lavender purple with a chalky cream eyezone and a yellow to green throat.","26","5","t","e","e,m","5.50","1","8"
"146","Crayola Violet","0","large","Stamile","stamile","1990","A rounded,violet purple flower with a green throat.","27","5","d","d","m","5.00","0","0"
"147","Dallas Star","0","large","Ferris, R.","ferris-r","1976","A mauve to lilac, star shaped flower with a green throat. ","28","7","d","s","m","5.00","1","8"
"148","Dan Tau","0","large","Smith, W.H.","smith-w-h","1981","Cream suffused with green, which extends out from the throat. ","24","6","d","s","e","5.00","1","5"
"149","Dance Ballerina Dance","0","large","Peck","peck","1976","Apricot pink with frills and ruffles. A milestone in breeding round and ruffled flowers.","24","6","t","d","m","4.00","1","9"
"150","Dance Fever","0","large","Hite","hite","1981","An orange flower with nicely ruffled edging.","25","5","t","d","e,m","4.50","1","10"
"151","Dancing Shiva","0","large","Moldovan","moldovan","1974","A medium pink flower with a green yellow throat.","22","5","t","d","e","4.00","1","5"
"152","Daring Dilemma","0","large","Salter","salter","1992","A mauve pink flower with a plum eye and matching edge.","24","5","t","s","m","5.00","0","0"
"153","Daring Reflection","0","large","Guidry","guidry","1986","This dark, wine purple blend has a deeper shadow around the lime green throat. Flowers open early and hold up well throughout the day.","17","6","d","d","e,m","4.50","1","10"
"154","Darrell","0","large","Durio","durio","1981","A big beautiful flower of light creamy yellow with a green throat.","26","7","t","e","e,m","5.00","1","10"
"155","David Kirchhoff","0","large","Salter","salter","1992","Rich purple, ruffled flower edged in white with a green throat.","26","6","t","s","m,l","6.50","1","8"
"156","Delicate Design","2018","large","Ferguson","ferguson","1980","A fascinating pale yellow flower with red-violet edging and matching halo. The markings can vary in intensity.","28","6","t","d","e","5.50","1","10"
"157","Delghtsome","0","large","Sikes","sikes","1986","Round and ruffled, clear pink blooms of silky smooth texture. One of our favourite pinks. ","16","5","d","d","m","5.00","1","8"
"158","Deloris Gould","0","large","Gould","gould","1992","Rich, deep yellow with wide ruffled petals and a green throat.","25","5","t","s","e,m","5.00","1","10"
"159","Designer Gown","0","large","Sikes","sikes","1982","This pretty lavender-pink flower has a purple eyezone, a narrow purple edge and a yellow green throat. ","29","6","t","d","m","4.00","1","6"
"160","Designer Jeans","0","large","Sikes","sikes","1983","A flower of light mauve pink with a darker eyezone and a yellow throat. Very floriferous when established.","34","7","t","d","m","5.00","1","10"
"161","Do You Know Doris ","0","large","Hansen, D.","hansen-d","2000","A soft coral pink here, really pretty in the heat of summer. Although registered as early, it flowers in July in our garden. ","22","6","t","s","e,m","8.50","0","0"
"162","Dominic","0","large","Williams","williams","1984","A velvety textured flower of the darkest red with a contrasting yellow throat. A strong and vigorous plant. ","30","6","t","s","m","4.50","1","10"
"163","Dorethe Louise","0","large","Peck","peck","1976","Big, wide yellow- green blooms that always attract attention in the garden.","28","7","t","d","m","4.00","1","4"
"164","Double Action","2018","large","Reinke","reinke","1992","A soft, pale yellow double that is very popular with garden visitors.","24","6","d","d","e,m","5.50","1","8"
"165","Dragon King","0","large","Kirchhoff, D.","kirchhoff-d","1992","A fine, deep,ruffled red flower with a large yellow green throat. Stunning in a clump.  ","22","6","t","e","e,m","6.50","1","10"
